id_str,true_label,pred_label,pred_confidence,filter_used,file_loc
6147,NOT_DISTURBED,NOT_DISTURBED,0.96228313,F444W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F444W/F444W_6147.jpg
7996,NOT_DISTURBED,NOT_DISTURBED,0.9610996,F150W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F150W/F150W_7996.jpg
11808,NOT_DISTURBED,NOT_DISTURBED,0.96764565,F277W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F277W/F277W_11808.jpg
2653,NOT_DISTURBED,NOT_DISTURBED,0.9998721,F277W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F277W/F277W_2653.jpg
6323,NOT_DISTURBED,NOT_DISTURBED,0.5131786,F150W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F150W/F150W_6323.jpg
11309,NOT_DISTURBED,NOT_DISTURBED,0.98394114,F277W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F277W/F277W_11309.jpg
8292,NOT_DISTURBED,NOT_DISTURBED,0.9868956,F277W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F277W/F277W_8292.jpg
9802,NOT_DISTURBED,NOT_DISTURBED,0.97187614,F277W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F277W/F277W_9802.jpg
7226,NOT_DISTURBED,NOT_DISTURBED,0.7464205,F277W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F277W/F277W_7226.jpg
10224,NOT_DISTURBED,NOT_DISTURBED,0.9922397,F277W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F277W/F277W_10224.jpg
11118,NOT_DISTURBED,NOT_DISTURBED,0.83516437,F150W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F150W/F150W_11118.jpg
6964,NOT_DISTURBED,NOT_DISTURBED,0.9973525,F277W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F277W/F277W_6964.jpg
10660,NOT_DISTURBED,NOT_DISTURBED,0.9150237,F150W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F150W/F150W_10660.jpg
2786,NOT_DISTURBED,NOT_DISTURBED,0.9892371,F277W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F277W/F277W_2786.jpg
7055,NOT_DISTURBED,NOT_DISTURBED,0.9139444,F150W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F150W/F150W_7055.jpg
5790,NOT_DISTURBED,NOT_DISTURBED,0.9354441,F150W,/n03data/huertas/COSMOS-Web/zoobot/stamps_ilbert/F150W/F150W_5790.jpg
